Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,undersampling,No,16,16,71,0,0.5,1,0.96,0.58
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,undersampling,Sensitive Threshold,16,84,3,0,0.16,1,0.52,0.01
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,undersampling,Sensitive Learning,7,8,79,9,0.47,0.44,0.77,0.35
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,SMOTE,No,14,9,78,2,0.61,0.88,0.94,0.65
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,SMOTE,Sensitive Threshold,16,44,43,0,0.27,1,0.75,0.23
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,SMOTE,Sensitive Learning,16,62,25,0,0.21,1,0.93,0.11
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,No,No,13,5,82,3,0.72,0.81,0.94,0.72
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,No,Sensitive Threshold,16,24,63,0,0.4,1,0.86,0.45
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,No,Sensitive Learning,16,24,63,0,0.4,1,0.93,0.45
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,oversampling,No,6,9,78,10,0.4,0.38,0.65,0.28
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,oversampling,Sensitive Threshold,16,84,3,0,0.16,1,0.52,0.01
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,oversampling,Sensitive Learning,5,10,77,11,0.33,0.31,0.55,0.2
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,undersampling,No,16,16,71,0,0.5,1,0.96,0.58
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,undersampling,Sensitive Threshold,16,84,3,0,0.16,1,0.52,0.01
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,undersampling,Sensitive Learning,7,8,79,9,0.47,0.44,0.77,0.35
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,SMOTE,No,14,9,78,2,0.61,0.88,0.94,0.65
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,SMOTE,Sensitive Threshold,16,44,43,0,0.27,1,0.75,0.23
AVRO,2,4.04,20.79,15.53,Random Forest,Greedy Backward,SMOTE,Sensitive Learning,16,62,25,0,0.21,1,0.93,0.11
AVRO,2,4.04,20.79,15.53,Ibk,No,No,No,14,6,81,2,0.7,0.88,0.9,0.73
AVRO,2,4.04,20.79,15.53,Ibk,No,No,Sensitive Threshold,14,6,81,2,0.7,0.88,0.9,0.73
AVRO,2,4.04,20.79,15.53,Ibk,No,No,Sensitive Learning,14,6,81,2,0.7,0.88,0.9,0.73
AVRO,2,4.04,20.79,15.53,Ibk,No,oversampling,No,3,14,73,13,0.18,0.19,0.51,0.03
AVRO,2,4.04,20.79,15.53,Ibk,No,oversampling,Sensitive Threshold,3,14,73,13,0.18,0.19,0.51,0.03
AVRO,2,4.04,20.79,15.53,Ibk,No,oversampling,Sensitive Learning,16,87,0,0,0.16,1,0.61,0
AVRO,2,4.04,20.79,15.53,Ibk,No,undersampling,No,15,14,73,1,0.52,0.94,0.89,0.58
AVRO,2,4.04,20.79,15.53,Ibk,No,undersampling,Sensitive Threshold,15,14,73,1,0.52,0.94,0.89,0.58
AVRO,2,4.04,20.79,15.53,Ibk,No,undersampling,Sensitive Learning,7,62,25,9,0.1,0.44,0.36,-0.12
AVRO,2,4.04,20.79,15.53,Ibk,No,SMOTE,No,14,7,80,2,0.67,0.88,0.9,0.7
AVRO,2,4.04,20.79,15.53,Ibk,No,SMOTE,Sensitive Threshold,14,7,80,2,0.67,0.88,0.9,0.7
AVRO,2,4.04,20.79,15.53,Ibk,No,SMOTE,Sensitive Learning,14,54,33,2,0.21,0.88,0.6,0.11
AVRO,2,4.04,20.79,15.53,Ibk,Best first,No,No,14,11,76,2,0.56,0.88,0.87,0.61
AVRO,2,4.04,20.79,15.53,Ibk,Best first,No,Sensitive Threshold,14,13,74,2,0.52,0.88,0.86,0.57
AVRO,2,4.04,20.79,15.53,Ibk,Best first,No,Sensitive Learning,14,13,74,2,0.52,0.88,0.87,0.57
AVRO,2,4.04,20.79,15.53,Ibk,Best first,oversampling,No,8,12,75,8,0.4,0.5,0.67,0.33
