RELEASE,FILENAME,SIZE,LOC_added,MAX_LOC_Added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
3,src/java/org/apache/avro/file/DataFileWriter.java,200,9,9,9,-7,-7,-7,1,1,3,3,3,No
3,src/java/org/apache/avro/file/SeekableFileInput.java,35,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/file/SeekableInput.java,37,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/generic/GenericArray.java,37,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/generic/GenericContainer.java,27,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/generic/GenericData.java,442,13,12,6,13,12,6,2,1,4,3,3,Yes
3,src/java/org/apache/avro/generic/GenericDatumReader.java,466,5,5,5,3,3,3,1,1,1,1,1,Yes
3,src/java/org/apache/avro/generic/GenericDatumWriter.java,192,0,0,0,0,0,0,0,0,0,0,0,Yes
3,src/java/org/apache/avro/generic/GenericFixed.java,24,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/generic/GenericRecord.java,24,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/generic/GenericRequestor.java,58,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/generic/GenericResponder.java,55,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/BinaryData.java,192,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/BinaryDecoder.java,301,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/BinaryEncoder.java,251,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,628,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/DatumReader.java,38,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/DatumWriter.java,36,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/Decoder.java,280,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/Encoder.java,275,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/JsonDecoder.java,399,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/JsonEncoder.java,239,1,1,1,-2,-2,-2,1,1,5,5,5,No
3,src/java/org/apache/avro/io/ParsingDecoder.java,75,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/ParsingEncoder.java,70,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/ResolvingDecoder.java,204,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/ValidatingDecoder.java,230,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/ValidatingEncoder.java,203,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,102,1,1,1,-1,-1,-1,1,1,5,5,5,No
3,src/java/org/apache/avro/io/parsing/Parser.java,166,21,21,21,21,21,21,1,1,5,5,5,No
3,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,338,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/parsing/SkipParser.java,95,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/io/parsing/Symbol.java,382,0,0,0,-1,-1,-1,1,1,5,5,5,No
3,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,139,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/ipc/AvroRemoteException.java,41,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,87,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,91,0,0,0,0,0,0,0,0,0,0,0,No
